UNIDADE,VALOR_EMENDA,EMPENHADO,LIQUIDADO,BLOQUEADO,QTD_EMENDAS
24105-PCDF,5300000,3215838.0,2230277.4,2000000.0,5
18101-SEE,4424000,2136477.8137931,2136477.8137931,1804000.0,7
28209-CODHAB,3500000,3500000.0,3275251.88,0.0,1
26205-DER,3035000,1940182.78,1940014.03,400000.04,5
64101-SEAPE,2500000,2488977.69,500000.0,0.0,3
34101-SEL,1731000,490980.95,140980.95,340000.0,2
17902-FAS,1500000,1500000.0,500000.0,0.0,1
26206-METRÔ,1500000,1000000.0,0.0,0.0,2
57101-SMDF,1400000,575703.19,321998.24,800000.0,1
22201-NOVACAP,1085000,785000.0,0.0,300000.0,4
44101-SEJUS,950000,385149.0,300000.0,350000.0,4
23901-FSDF,866000,723370.0,400000.0,142000.0,12
27101-SETUR,750000,550000.0,550000.0,200000.0,2
16101-SECEC,530000,162192.84,162192.84,0.0,3
14203-EMATER,400000,0.0,0.0,0.0,1
40201-FAP,300000,300000.0,0.0,0.0,2
9113-CRUZEIRO,220000,22710.65,0.0,80000.0,4
25101-SEDET,150000,150000.0,150000.0,0.0,1
19101-SEEC,0,0.0,0.0,0.0,2
